frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp,septa_width,septa,ug_ml
mf_30_past_4,marthas_finyard,30,0,past,0.178,0.058,0.076,0.013,0.018,12,2.39034575
mf_30_past_4,marthas_finyard,30,1,past,0.156,0.043,0.044,0.014,0.023,12,2.39034575
mf_30_past_4,marthas_finyard,30,2,past,0.148,0.04,0.063,0.017,0.024,12,2.39034575
mf_30_past_4,marthas_finyard,30,3,past,0.166,0.043,0.044,0.009,0.014,12,2.39034575
mf_30_past_4,marthas_finyard,30,5,past,0.12,0.032,0.052,0.012,0.018,12,2.39034575
mf_30_past_4,marthas_finyard,30,6,past,0.159,0.039,0.053,0.009,0.018,12,2.39034575
mf_30_past_4,marthas_finyard,30,7,past,0.147,0.047,0.039,0.016,0.018,12,2.39034575
mf_30_past_4,marthas_finyard,30,8,past,0.136,0.033,0.042,0.01,0.018,12,2.39034575
mf_30_past_4,marthas_finyard,30,9,past,0.159,0.049,0.05,0.015,0.014,12,2.39034575
mf_30_past_5,marthas_finyard,30,0,past,0.17,0.048,0.052,0.02,0.023,12,2.39034575
mf_30_past_5,marthas_finyard,30,1,past,0.184,0.053,0.05,0.01,0.015,12,2.39034575
mf_30_past_5,marthas_finyard,30,2,past,0.182,0.067,0.063,0.015,0.022,12,2.39034575
mf_30_past_5,marthas_finyard,30,3,past,0.142,0.052,0.048,0.013,0.022,12,2.39034575
mf_30_past_5,marthas_finyard,30,4,past,0.175,0.059,0.055,0.01,0.016,12,2.39034575
mf_30_past_5,marthas_finyard,30,5,past,0.168,0.056,0.059,0.013,0.023,12,2.39034575
mf_30_past_5,marthas_finyard,30,7,past,0.174,0.054,0.046,0.014,0.017,12,2.39034575
mf_30_past_6,marthas_finyard,30,0,past,0.171,0.048,0.075,0.014,0.016,12,2.39034575
mf_30_past_6,marthas_finyard,30,1,past,0.163,0.049,0.075,0.013,0.018,12,2.39034575
mf_30_past_6,marthas_finyard,30,3,past,0.144,0.062,0.057,0.022,0.024,12,2.39034575
mf_30_past_6,marthas_finyard,30,4,past,0.13,0.05,0.057,0.022,0.018,12,2.39034575
mf_30_past_6,marthas_finyard,30,5,past,0.178,0.062,0.08,0.013,0.023,12,2.39034575
mf_30_past_7,marthas_finyard,30,3,past,0.175,0.053,0.052,0.014,0.019,12,2.39034575
mf_30_past_7,marthas_finyard,30,4,past,0.173,0.061,0.059,0.019,0.021,12,2.39034575
mf_30_past_7,marthas_finyard,30,5,past,0.158,0.046,0.049,0.017,0.022,12,2.39034575
mf_30_past_7,marthas_finyard,30,6,past,0.156,0.059,0.052,0.019,0.02,12,2.39034575
mf_30_past_7,marthas_finyard,30,7,past,0.154,0.056,0.064,0.008,0.02,11,2.39034575
mf_30_past_7,marthas_finyard,30,8,past,0.152,0.066,0.06,0.015,0.021,12,2.39034575
mf_30_past_8,marthas_finyard,30,0,past,0.229,0.069,0.076,0.013,0.022,12,2.39034575
mf_30_past_8,marthas_finyard,30,1,past,0.178,0.077,0.064,0.019,0.017,12,2.39034575
mf_30_past_8,marthas_finyard,30,2,past,0.176,0.073,0.057,0.019,0.02,12,2.39034575
mf_30_past_8,marthas_finyard,30,3,past,0.191,0.062,0.059,0.016,0.02,12,2.39034575
mf_30_past_8,marthas_finyard,30,4,past,0.153,0.048,0.049,0.014,0.022,12,2.39034575
mf_30_past_8,marthas_finyard,30,5,past,0.149,0.033,0.064,0.016,0.024,12,2.39034575
mf_30_past_8,marthas_finyard,30,6,past,0.156,0.053,0.056,0.016,0.024,12,2.39034575
mf_40_past_1,marthas_finyard,40,0,past,0.194,0.063,0.069,0.019,0.022,12,2.4334532
mf_40_past_1,marthas_finyard,40,5,past,0.185,0.055,0.067,0.011,0.021,12,1.5238198
mf_40_past_1,marthas_finyard,40,6,past,0.199,0.06,0.081,0.014,0.024,12,1.5238198
mf_40_past_1,marthas_finyard,40,7,past,0.222,0.056,0.099,0.005,0.028,12,1.5238198
mf_40_past_1,marthas_finyard,40,9,past,0.202,0.065,0.072,0.011,0.017,12,1.5238198
mf_40_past_1,marthas_finyard,40,10,past,0.199,0.051,0.087,0.009,0.024,12,1.5238198
mf_40_past_1,marthas_finyard,40,13,past,0.209,0.058,0.078,0.008,0.027,12,1.5238198
mf_40_past_1,marthas_finyard,40,14,past,0.234,0.075,0.087,0.007,0.036,12,1.5238198
mf_40_past_1,marthas_finyard,40,15,past,0.167,0.064,0.081,0.008,0.025,12,1.5238198
mf_40_past_2,marthas_finyard,40,0,past,0.188,0.058,0.096,0.012,0.027,12,1.5238198
mf_40_past_2,marthas_finyard,40,1,past,0.173,0.059,0.072,0.01,0.022,12,1.5238198
mf_40_past_2,marthas_finyard,40,2,past,0.2,0.077,0.08,0.006,0.025,12,1.5238198
mf_40_past_2,marthas_finyard,40,3,past,0.201,0.051,0.083,0.014,0.025,12,1.5238198
mf_40_past_2,marthas_finyard,40,4,past,0.187,0.051,0.067,0.015,0.027,12,1.5238198
mf_40_past_2,marthas_finyard,40,5,past,0.199,0.069,0.055,0.009,0.018,12,1.5238198
mf_40_past_2,marthas_finyard,40,6,past,0.189,0.076,0.071,0.011,0.026,12,1.5238198
mf_40_past_2,marthas_finyard,40,7,past,0.19,0.046,0.083,0.009,0.024,12,1.5238198
mf_40_past_2,marthas_finyard,40,8,past,0.219,0.043,0.091,0.012,0.029,12,1.5238198
mf_40_past_3,marthas_finyard,40,0,past,0.179,0.047,0.073,0.015,0.026,12,1.5238198
mf_40_past_3,marthas_finyard,40,4,past,0.205,0.058,0.083,0.012,0.027,12,1.5238198
mf_40_past_3,marthas_finyard,40,5,past,0.221,0.047,0.084,0.017,0.024,12,1.5238198
mf_40_past_3,marthas_finyard,40,6,past,0.224,0.072,0.074,0.008,0.028,12,1.5238198
mf_40_past_3,marthas_finyard,40,7,past,0.218,0.064,0.083,0.007,0.021,12,1.5238198
mf_40_past_3,marthas_finyard,40,8,past,0.175,0.049,0.058,0.023,0.031,12,1.5238198
mf_40_past_3,marthas_finyard,40,9,past,0.206,0.058,0.071,0.041,0.028,12,1.5238198
mf_40_past_3,marthas_finyard,40,10,past,0.193,0.051,0.083,0.031,0.031,12,1.5238198
mf_40_past_3,marthas_finyard,40,11,past,0.191,0.046,0.089,0.01,0.027,12,1.5238198
mf_40_past_4,marthas_finyard,40,0,past,0.203,0.088,0.068,0.037,0.031,12,1.5238198
mf_40_past_4,marthas_finyard,40,6,past,0.177,0.052,0.063,0.017,0.019,12,1.5238198
mf_40_past_4,marthas_finyard,40,7,past,0.166,0.07,0.074,0.008,0.025,12,1.5238198
mf_40_past_4,marthas_finyard,40,8,past,0.178,0.044,0.058,0.014,0.021,11,1.5238198
mf_40_past_4,marthas_finyard,40,9,past,0.279,0.07,0.096,0.018,0.032,12,1.5238198
mf_40_past_4,marthas_finyard,40,11,past,0.191,0.066,0.071,0.019,0.026,12,1.5238198
mf_40_past_4,marthas_finyard,40,12,past,0.156,0.064,0.07,0.017,0.019,12,1.5238198
mf_40_past_4,marthas_finyard,40,13,past,0.198,0.078,0.068,0.013,0.032,12,1.5238198
mf_40_past_4,marthas_finyard,40,14,past,0.167,0.063,0.071,0.014,0.017,12,1.5238198
mf_40_past_4,marthas_finyard,40,15,past,0.208,0.078,0.075,0.013,0.03,12,1.5238198
mf_40_past_4,marthas_finyard,40,16,past,0.219,0.057,0.078,0.018,0.027,12,1.5238198
mf_40_past_4,marthas_finyard,40,17,past,0.163,0.059,0.053,0.008,0.021,12,1.5238198
mf_40_past_5,marthas_finyard,40,0,past,0.198,0.057,0.083,0.025,0.028,12,1.5238198
mf_40_past_5,marthas_finyard,40,1,past,0.197,0.049,0.066,0.04,0.028,12,1.5238198
mf_40_past_5,marthas_finyard,40,3,past,0.213,0.038,0.074,0.047,0.029,12,1.5238198
mf_40_past_5,marthas_finyard,40,4,past,0.156,0.055,0.06,0.036,0.024,12,1.5238198
mf_40_past_5,marthas_finyard,40,5,past,0.206,0.053,0.078,0.029,0.022,12,1.5238198
mf_40_past_5,marthas_finyard,40,6,past,0.153,0.046,0.067,0.024,0.029,12,1.5238198
mf_40_past_5,marthas_finyard,40,7,past,0.154,0.047,0.046,0.048,0.025,12,1.5238198
mf_40_past_5,marthas_finyard,40,8,past,0.156,0.041,0.062,0.024,0.024,12,1.5238198
mf_40_past_5,marthas_finyard,40,10,past,0.169,0.043,0.059,0.012,0.022,12,1.5238198
mf_40_past_6,marthas_finyard,40,0,past,0.185,0.058,0.062,0.01,0.025,12,1.5238198
mf_40_past_6,marthas_finyard,40,1,past,0.165,0.049,0.059,0.015,0.018,12,1.5238198
mf_40_past_6,marthas_finyard,40,2,past,0.168,0.033,0.048,0.024,0.017,11,1.5238198
mf_40_past_6,marthas_finyard,40,3,past,0.167,0.042,0.055,0.012,0.02,12,1.5238198
mf_40_past_6,marthas_finyard,40,4,past,0.134,0.033,0.056,0.018,0.015,12,1.5238198
mf_40_past_6,marthas_finyard,40,6,past,0.171,0.056,0.061,0.013,0.016,12,1.5238198
mf_40_past_6,marthas_finyard,40,7,past,0.179,0.05,0.064,0.013,0.025,12,1.5238198
mf_40_past_6,marthas_finyard,40,8,past,0.213,0.049,0.071,0.017,0.029,12,1.5238198
mf_40_past_6,marthas_finyard,40,10,past,0.191,0.048,0.072,0.011,0.023,12,1.5238198
mf_40_past_7,marthas_finyard,40,0,past,0.189,0.057,0.088,0.013,0.025,12,1.5238198
mf_40_past_7,marthas_finyard,40,3,past,0.179,0.068,0.083,0.014,0.03,12,1.5238198
mf_40_past_7,marthas_finyard,40,4,past,0.16,0.05,0.07,0.016,0.025,12,1.5238198
mf_40_past_7,marthas_finyard,40,5,past,0.165,0.052,0.059,0.012,0.022,12,1.5238198
mf_40_past_7,marthas_finyard,40,6,past,0.151,0.05,0.054,0.015,0.014,12,1.5238198
mf_40_past_7,marthas_finyard,40,7,past,0.168,0.045,0.057,0.012,0.021,12,1.5238198
mf_40_past_7,marthas_finyard,40,8,past,0.164,0.048,0.055,0.01,0.021,12,1.5238198
mf_40_past_7,marthas_finyard,40,9,past,0.152,0.056,0.071,0.012,0.02,12,1.5238198
mf_40_past_7,marthas_finyard,40,10,past,0.172,0.061,0.052,0.016,0.021,12,1.5238198
mf_40_past_8,marthas_finyard,40,0,past,0.181,0.03,0.068,0.012,0.018,12,1.5238198
mf_40_past_8,marthas_finyard,40,1,past,0.16,0.049,0.07,0.013,0.018,12,1.5238198
mf_40_past_8,marthas_finyard,40,7,past,0.111,0.04,0.044,0.02,0.013,12,1.5238198
mf_40_past_8,marthas_finyard,40,4,past,0.142,0.041,0.054,0.022,0.024,12,1.5238198
