"","sample","site","species","depth","six_six_three","six_six_four","six_three_zero","six_four_seven","six_nine_one","ug_ml"
"53","MF-MCAV 30M 6.1","marthas","mcav",30,0.1685,0.2335,0.1045,0.0575,0.0375,2.669468
"54","MF-MCAV 30M 7.1","marthas","mcav",30,0.1825,0.1675,0.0575,0.0615,0.0305,1.8685717
"55","MF-MCAV 30M 8.1","marthas","mcav",30,0.2345,0.1805,0.0695,0.0745,0.0395,1.9922232
"56","MF-MCAV 40M 1.1","marthas","mcav",40,0.2275,0.2235,0.0545,0.0655,0.0125,2.555208
"57","MF-MCAV 40M 2.1","marthas","mcav",40,0.1695,0.1665,0.0405,0.0535,0.0075,1.897877
"58","MF-MCAV 40M 3.1","marthas","mcav",40,0.0865,0.1665,0.0245,0.0295,0.0275,1.9059186
"59","MF-MCAV 40M 4.1","marthas","mcav",40,0.1225,0.0865,0.0315,0.0375,0.0105,0.9630381
"60","MF-MCAV 40M 5.1","marthas","mcav",40,0.3575,0.1205,0.1005,0.1095,0.0615,1.1931894
"61","MF-MCAV 40M 7.1","marthas","mcav",40,0.0805,0.3565,0.0335,0.0365,0.0145,4.184662
"62","MF-MCAV 40M 8.1","marthas","mcav",40,0.2545,0.0775,0.0715,0.0795,0.0225,0.7782121
"63","MF-MCAV 50M 1.1","marthas","mcav",50,0.0295,0.0285,0.0085,0.0095,0.0035,0.321613
"64","MF-MCAV 50M 2.1","marthas","mcav",50,0.1385,0.1365,0.0275,0.0365,0.0075,1.5649608
"65","MF-MCAV 50M 3.1","marthas","mcav",50,0.2095,0.1365,0.0415,0.0545,0.0155,1.5266896
"66","MF-MCAV 50M 4.1","marthas","mcav",50,0.1665,0.2075,0.0405,0.0445,0.0145,2.3933115
"67","MF-MCAV 50M 5.1","marthas","mcav",50,0.2825,0.1645,0.0755,0.0775,0.0275,1.8150291
"68","MF-MCAV 50M 6.1","marthas","mcav",50,0.3855,0.2795,0.1105,0.1175,0.0395,3.1131214
"69","MF-MCAV 50M 7.1","marthas","mcav",50,0.2665,0.3835,0.0625,0.0795,0.0315,4.4172748
